ANIO,ID_ESTADO,ESTADO,PIB REAL,TOTAL DE EGRESOS,SERVICIOS PERSONALES,MATERIALES Y SUMINISTROS,SERVICIOS GENERALES,"TRANSFERENCIAS, ASIGNACIONES, SUBSIDIOS Y OTRAS AYUDAS","BIENES MUEBLES, INMUEBLES E INTANGIBLES",INVERSION PUBLICA,RECURSOS ASIGNADOS A MUNICIPIOS O ALCALDIAS,OTROS EGRESOS,DEUDA PUBLICA,DISPONIBILIDAD FINAL,INVERSIONES FINANCIERAS Y OTRAS PROVISIONES,TOTAL DE INGRESOS,IMPUESTOS,CUOTAS Y APORTACIONES DE SEGURIDAD SOCIAL,DERECHOS,PRODUCTOS,APROVECHAMIENTOS,PARTICIPACIONES FEDERALES,APORTACIONES FEDERALES,FINANCIAMIENTO,DISPONIBILIDAD INICIAL,CONTRIBUCIONES DE MEJORAS,OTROS INGRESOS,HOMICIDIOS,POBLACION,TASA HOMICIDIOS,INDICE TC REAL,INDICE TC BILATERAL,TASA DESEMPLEO,TASA REAL,INPC,PIB MANUF USA,OIL EXPORT,OIL PRICE,TASA CETES,TASA INF BM
1993,1,AGUASCALIENTES,"78,821,335,000","4,905,524,141.7","506,369,701.09","112,279,793.37","85,575,251.27","3,005,615,223.71",0,"272,145,317","810,333,599.53","41,147,598.03","72,057,657.77",0,0.00,"4,905,524,142","78,662,092","98,051,686","119,890,305","85,992,578","19,661,550","2,341,761,647","1,966,043,438","195,460,845",0,0,0,32,"817,353.00",3.92,73.662625,78.65,3.4,-13.17394589,13.843055,63.568675,131623068.8,13.1973415,14.84826923,9.751460454
1993,2,BAJA CALIFORNIA,"296,855,975,000","28,366,636,508.6","4,697,374,270.97","686,838,391.50","244,768,800.52","2,685,958,287.14",0,"1,429,333,451","707,689,989.08","17,353,999,211.84","558,610,565.21","2,063,542",0.00,"28,366,636,509","593,402,533","17,929,576,675","458,630,332","67,133,890","180,314,239","6,185,561,241","1,989,267,303","957,922,262","4,828,032",0,0,290,"1,951,205.00",14.86,73.662625,78.65,3.4,-13.17394589,13.843055,63.568675,131623068.8,13.1973415,14.84826923,9.751460454
1993,3,BAJA CALIFORNIA SUR,"53,308,873,000","3,509,979,620.8","709,380,128.00","190,134,077.36","53,272,130.55","1,824,013,642.62",0,"42,653,079","432,105,632.47","34,706,806.16","189,406,924.57","34,307,200",0.00,"3,509,979,621","32,859,445","605,305,566","294,792","11,031,759","6,131,667","1,404,498,890","1,447,564,678","2,292,824",0,0,0,21,"356,858.00",5.88,73.662625,78.65,3.4,-13.17394589,13.843055,63.568675,131623068.8,13.1973415,14.84826923,9.751460454
1993,4,CAMPECHE,"730,785,341,000","7,571,212,016.4","827,120,982.95","462,199,060.32","53,292,648.05","2,695,544,191.71","85,627","189,679,017","933,682,708.82","1,674,809,286.04","294,677,541.53","440,120,953",0.00,"7,571,212,016","60,925,237","1,025,307,852","135,665,538","59,005,567","3,301,850","2,906,920,931","1,446,011,905","1,829,603,299","104,469,838",0,0,77,"608,989.00",12.64,73.662625,78.65,3.4,-13.17394589,13.843055,63.568675,131623068.8,13.1973415,14.84826923,9.751460454
1993,5,CDMX,"1,760,340,994,000","91,152,836,132.6","28,624,685,346.37","6,750,624,468.47","19,211,744,227.73","17,478,350,855.20",0,"15,429,988,959","2,593,194,554.06",0.00,"1,064,247,722.09",0,0.00,"91,152,836,133","23,078,150,563",0,"8,393,014,342","12,518,408,918","2,663,906,560","41,032,738,674","11,404,507","2,596,173,915",0,"859,038,654",0,1249,"8,515,465.00",14.67,73.662625,78.65,3.4,-13.17394589,13.843055,63.568675,131623068.8,13.1973415,14.84826923,9.751460454
1993,6,CHIAPAS,"215,671,848,000","12,308,069,530.9","4,087,910,635.67","540,247,723.38","717,152,461.09","1,867,908,489.40",0,"2,361,669,119","2,614,998,020.85",0.00,"118,183,081.76",0,0.00,"12,308,069,531","159,169,828","74,839,856","313,770,307","141,420,736","604,754,351","8,731,994,027","1,502,075,005","780,045,419",0,0,0,504,"3,514,087.00",14.34,73.662625,78.65,3.4,-13.17394589,13.843055,63.568675,131623068.8,13.1973415,14.84826923,9.751460454
1993,7,CHIHUAHUA,"257,785,867,000","12,116,090,234.5","6,081,704,589.14",0.00,0.00,"1,513,211,383.16",0,"1,193,888,498","1,464,273,076.69",0.00,"1,829,760,095.29","33,252,592",0.00,"12,116,090,235","816,670,638",0,"866,054,348","30,208,750","517,739,292","6,592,296,218",0,"673,983,542","2,619,137,446",0,0,456,"2,698,451.00",16.90,73.662625,78.65,3.4,-13.17394589,13.843055,63.568675,131623068.8,13.1973415,14.84826923,9.751460454
1993,8,COAHUILA,"286,710,092,000","11,376,992,597.0","2,176,454,053.11","577,274,874.09","160,008,595.82","6,593,655,895.39",0,"451,397,062","1,089,215,659.56","242,317,509.51","86,668,948.03",0,0.00,"11,376,992,597","259,726,530",0,"436,894,359","102,880,328","294,917,450","5,467,381,254","4,737,671,637","77,521,038",0,0,0,220,"2,128,732.00",10.33,73.662625,78.65,3.4,-13.17394589,13.843055,63.568675,131623068.8,13.1973415,14.84826923,9.751460454
1993,9,COLIMA,"54,992,860,000","3,024,851,395.7","749,643,324.80","180,063,875.93","30,583,541.94","1,191,743,331.72",0,"259,610,624","474,743,481.00","3,418,338.72","66,237,179.64","68,807,698",0.00,"3,024,851,396","35,159,966","9,566,553","108,475,435","27,330,175","131,855,362","1,595,038,909","665,706,113","451,718,882",0,0,0,70,"471,838.00",14.84,73.662625,78.65,3.4,-13.17394589,13.843055,63.568675,131623068.8,13.1973415,14.84826923,9.751460454
1993,10,DURANGO,"114,416,089,000","4,688,977,287.4","1,659,643,138.90","331,982,811.80",0.00,"837,689,749.15",0,"842,049,069","742,560,070.51",0.00,"275,052,447.62",0,0.00,"4,688,977,287","48,626,535","903,893,709","200,693,423","11,961,192","66,239,171","3,042,786,803",0,"414,776,455",0,0,0,344,"1,432,432.00",24.02,73.662625,78.65,3.4,-13.17394589,13.843055,63.568675,131623068.8,13.1973415,14.84826923,9.751460454
